Player Name,Position,Team,Twitter Handle,Twitch Name,League Accounts,,
Hakuho,SUPPORT,Immortals Academy,Hakuho,hakuholol,Hakuho,,
Impact,TOP,Team Liquid,Impact,tlimpact,Liquid Impact,,
Broxah,JUNGLE,Team Liquid,BroxahLoL,broxah,TL Broxah,,
Jensen,MID,Team Liquid,Jensen,jensen,TL Jensen,Jænsen,
Tactical,ADC,Team Liquid,Tactical,loltactical,TL Tactical,Tactical,
CoreJJ,SUPPORT,Team Liquid,TLCoreJJ,corejj,From Iron,Diuqil,
Jenkins,TOP,Team Liquid Academy,Jenkins,bobjenkins,,,
Grig,JUNGLE,Team Liquid Academy,Grig_lol,griglol,elise player,,
Yusui,MID,Team Liquid Academy,YusuiLoL,yusui,,,
Rikara,ADC,Team Liquid Academy,Rikara,rikaralol,,,
Yama,SUPPORT,Team Liquid Academy,-,-,,,
Broken Blade,TOP,TSM,TSMBrokenBlade,tsm_brokenblade,Kral BB,BB Shmurda,
Spica,JUNGLE,TSM,Spicalol,spicalol,TSM Spica,ASTROBOY99,TSM SEJUANI
Bjergsen,MID,TSM,Bjergsen,tsm_bjergsen,TSM Bjergsen,TSM qldurtms,
Doublelift,ADC,TSM,TSMDoublelift,doublelift,Doublelift,,
Biofrost,SUPPORT,TSM,Biofrostlol,biofrostlol,TSM SIGHTSTONE,Biofrost,
Dhokla,TOP,TSM Academy,dhoklalol,dhoklalol,Dhokla,,
Winston,JUNGLE,TSM Academy,-,-,Winston4,TSM Winston,
Evolved,MID,TSM Academy,KatEvolvedlol,katevolved,KatEvolved,TSM EvoIved,
Lost,ADC,TSM Academy,Lost_adc,-,,,
Treatz,SUPPORT,TSM Academy,TreatzLoL,treatzlol,TSM Treatz,,
