Player Name,Position,Team,Twitter Handle,Twitch User Name,League Accounts,,
Gate,SUPPORT,Immortals Academy,Gate_LoL,gate_lol,,,
Impact,TOP,Team Liquid,Impact,tlimpact ,Liquid Impact,,
Broxah,JUNGLE,Team Liquid,BroxahLoL,BroxahLoL,TL Broxah,,
Jensen,MID,Team Liquid,Jensen,jensen,fasfdsad1,TL Jensen,
Tactical,ADC,Team Liquid,Tactical,loltactical,TL Tactical,Tactical,T4ctical
CoreJJ,SUPPORT,Team Liquid,TLCoreJJ,corejj,From Iron,Diuqil,
Jenkins,TOP,Team Liquid Academy,BobjenkinsLoL,bobjenkins,,,
Shernfire,JUNGLE,Team Liquid Academy,shernfire,shernfire,shernf,,
Yusui,MID,Team Liquid Academy,YusuiLoL,yusui,,,
Rikara,ADC,Team Liquid Academy,Rikara,rikaralol,,,
UNKNOWN,SUPPORT,Team Liquid Academy,UNKNOWN,UNKNOWN,,,
Broken Blade,TOP,TSM,TSMBrokenBlade,tsm_brokenblade,Kral BB,BB Shmurda,
Dardoch,JUNGLE,TSM,Dardoch,dardoch,dd god,,
Bjergsen,MID,TSM,Bjergsen,TSM_Bjergsen,TSM Bjergsen,,
Doublelift,ADC,TSM,TSMDoublelift,doublelift,Doublelift,,
Biofrost,SUPPORT,TSM,Biofrostlol,biofrostlol,TSM SIGHTSTONE,Biofrost,
Dhokla,TOP,TSM Academy,dhoklalol,dhoklalol,Dhokla,,
Spica,JUNGLE,TSM Academy,Spicalol,spicalol,TSM Spica,ASTROBOY99,
Evolved,MID,TSM Academy,KatEvolvedlol,KatEvolved,KatEvolved,TSM EvoIved,
Lost,ADC,TSM Academy,Lost_adc,UNKNOWN,,,
Treatz,SUPPORT,TSM Academy,TreatzLoL,TreatzLoL,TSM Treatz,,
